Time: 02.10.2024 16:46:11, Name: MyAcc, Moneys: 1500000, Відсоток: 5
Time: 02.10.2024 16:46:11, Name: MyAcc, Moneys: 1000000, Відсоток: 5
Time: 02.10.2024 16:46:45, Name: MyAcc, Moneys: 1000000, Відсоток: 0
Time: 02.10.2024 16:46:45, Name: MyAcc, Moneys: 1000000, Відсоток: 0
Time: 02.10.2024 16:46:45, Name: MyAcc, Moneys: 1500000, Відсоток: 5
Time: 02.10.2024 16:46:45, Name: MyAcc, Moneys: 1500000, Відсоток: 5
Time: 02.10.2024 16:46:45, Name: MyAcc, Moneys: 1500000, Відсоток: 6
Time: 02.10.2024 16:47:01, Name: MyAcc, Moneys: 0, Відсоток: 0
Time: 02.10.2024 16:47:01, Name: MyAcc, Moneys: 1000000, Відсоток: 0
Time: 02.10.2024 16:47:01, Name: MyAcc, Moneys: 1000000, Відсоток: 5
Time: 02.10.2024 16:47:01, Name: MyAcc, Moneys: 1500000, Відсоток: 5
Time: 02.10.2024 16:47:01, Name: MyAcc, Moneys: 1500000, Відсоток: 6
Time: 02.10.2024 16:47:04, Name: MyAcc, Moneys: 0, Відсоток: 0
Time: 02.10.2024 16:47:04, Name: MyAcc, Moneys: 1000000, Відсоток: 0
Time: 02.10.2024 16:47:04, Name: MyAcc, Moneys: 1000000, Відсоток: 5
Time: 02.10.2024 16:47:04, Name: MyAcc, Moneys: 1500000, Відсоток: 5
Time: 02.10.2024 16:47:04, Name: MyAcc, Moneys: 1500000, Відсоток: 6
Time: 02.10.2024 16:47:07, Name: MyAcc, Moneys: 0, Відсоток: 0
Time: 02.10.2024 16:47:07, Name: MyAcc, Moneys: 1000000, Відсоток: 0
Time: 02.10.2024 16:47:07, Name: MyAcc, Moneys: 1000000, Відсоток: 5
Time: 02.10.2024 16:47:07, Name: MyAcc, Moneys: 1500000, Відсоток: 5
Time: 02.10.2024 16:47:07, Name: MyAcc, Moneys: 1500000, Відсоток: 6
Time: 02.10.2024 16:47:17, Name: MyAcc, Moneys: 1000000, Відсоток: 0
Time: 02.10.2024 16:47:17, Name: MyAcc, Moneys: 1500000, Відсоток: 6
Time: 02.10.2024 16:52:22, Name: MyAcc, Money: 0, Percent: 0
Time: 02.10.2024 16:52:22, Name: MyAcc, Money: 1000000, Percent: 0
Time: 02.10.2024 16:52:22, Name: MyAcc, Money: 1000000, Percent: 5
Time: 02.10.2024 16:52:22, Name: MyAcc, Money: 1500000, Percent: 5
Time: 02.10.2024 16:52:22, Name: MyAcc, Money: 1500000, Percent: 6
Time: 02.10.2024 16:59:12, Name: MyAcc, Money: 0, Percent: 0
Time: 02.10.2024 16:59:12, Name: MyAcc, Money: 1000000, Percent: 0
Time: 02.10.2024 16:59:12, Name: MyAcc, Money: 1000000, Percent: 5
Time: 02.10.2024 16:59:12, Name: MyAcc, Money: 1500000, Percent: 5
Time: 02.10.2024 16:59:12, Name: MyAcc, Money: 1500000, Percent: 6
Time: 10.10.2024 17:22:43, Name: MyAcc, Money: 0, Percent: 0
Time: 10.10.2024 17:22:44, Name: MyAcc, Money: 1000000, Percent: 0
Time: 10.10.2024 17:22:44, Name: MyAcc, Money: 1000000, Percent: 5
Time: 10.10.2024 17:22:44, Name: MyAcc, Money: 1500000, Percent: 5
Time: 10.10.2024 17:22:45, Name: MyAcc, Money: 1500000, Percent: 6
Time: 10.10.2024 17:25:44, Name: MyAcc, Money: 0, Percent: 0
